Start,Stop
337394,337473
337669,337746
338614,339087
340360,340437
340736,340857
340945,341754
343873,343929
345119,345276
345847,345957
348583,349065
349401,349458
350277,351264
355643,355698
356567,356634
357290,357705
358024,358080
358183,358359
360170,360507
363274,363336
363768,363831
366508,367032
367533,367593
368706,368790
369227,369297
369408,369462
370032,370095
370446,370584
371243,371505
373617,373725
377385,377595
378744,378804
378964,379728
380324,380409
381847,381918
382016,382089
382235,382287
383710,384726
386047,386130
386780,386847
387697,388467
390773,391473
391604,391677
392126,392184
392262,392427
394628,395529
395602,396111
396767,396927
398210,398268
401383,401580
401894,402000
402187,402348
403278,403725
404917,404994
406259,406359
406827,406884
407366,407418
408792,408846
410536,410607
412830,412899
414095,414192
414480,414543
414896,415227
417243,417303
417535,417960
418891,419373
419999,420108
420335,420483
423909,424026
426241,426606
431572,431658
432026,432099
434479,434544
436099,436158
436378,436485
436821,436977
437480,438882
439009,439212
439306,439383
440153,440220
440758,441570
441746,441804
442643,442737
452524,453093
454534,456936
457021,458913
460799,460866
466517,466599
468508,468561
468617,468702
468856,468936
469370,469500
470227,470292
471512,471798
472411,472644
477530,477588
478718,478818
478983,479067
480779,480855
481250,481332
481506,481596
482105,482193
482462,482544
482713,482868
483482,483891
485349,485406
485879,486141
488796,488877
489905,489987
494011,495561
496481,497919
501436,501540
502088,502140
502221,502362
502480,502539
503188,503250
505355,506223
507883,507969
508879,508950
510722,511212
511966,512208
514712,515058
516091,516636
518597,518706
519742,519798
520426,520791
521601,521667
521858,522591
522797,522969
524986,525042
525301,525357
529231,529419
529735,529812
530515,531108
532697,532773
533066,533154
533402,533457
534307,534756
536120,536232
536716,536793
539365,539763
540309,540369
540421,541467
541688,541776
543062,543129
543183,544137
546786,546900
547520,547617
553078,554493
554954,555060
555222,555318
557373,557448
558037,558480
561481,561774
567715,567774
568887,569016
570916,571185
571715,572559
573737,573804
576403,577584
578069,578151
579953,580047
581284,581349
582241,582300
582759,582816
583921,584010
586083,586137
586711,586767
589065,589362
590324,590409
591250,591348
592560,592683
593616,593685
593792,593910
594092,594267
595135,595842
596570,596631
597050,597105
598525,598578
599022,599088
599971,600075
602667,602796
603159,603237
604944,605076
606297,606354
606952,607053
607372,608199
608812,609588
612678,612738
615643,615702
617072,617235
623251,624423
625045,625395
626429,628971
630629,630684
630759,630900
631042,632811
633709,634251
635930,635991
636712,636819
637373,637440
638165,638370
639541,639774
639985,640098
640300,640632
641062,641151
643845,643902
645556,645858
646034,646137
646304,646410
647587,649404
652604,652668
653041,653982
655113,655173
655996,656112
657998,658065
659069,659475
659572,660312
660398,660489
661780,662025
667754,667821
669086,669228
669317,669381
670309,672339
673436,673629
674040,674178
674410,674568
674728,674784
676886,676995
677372,677442
679617,679686
679895,679986
682722,682845
683519,683601
684287,684357
689923,690873
694032,694095
695555,695718
696883,697590
698525,698733
698785,699420
701907,702084
702577,702663
703300,703353
703944,704148
704277,704331
704452,705387
705729,705858
706339,707292
708428,708531
708745,708843
711690,711786
712603,713244
713512,714306
714900,714954
715038,715116
717054,717231
717670,718449
719653,720504
723549,723681
726034,726393
728624,728850
730072,730128
730516,731751
732022,733014
733083,733158
737269,737733
737989,738171
739729,740598
742276,742557
746530,747222
748198,748281
748537,749205
752915,753003
753490,755295
756693,756762
758357,758430
758656,759396
760146,760224
761552,761613
763798,764307
766351,766797
767578,767742
769639,771012
771456,771552
771956,772326
772996,773700
774371,774429
775744,776247
777891,778032
778114,778185
778540,778617
778745,779490
779875,779937
781343,781404
782100,782175
782690,782778
783901,784788
786886,787002
787765,787842
788642,788736
790223,790509
791008,791085
791977,792867
793777,795030
795184,796062
797823,798105
800110,800925
801213,801297
803013,803163
804382,804729
807036,807222
808299,808383
809662,809781
810985,811620
811924,813189
813525,817878
824021,824118
825727,825813
826703,826755
830920,830997
831485,833073
835939,836748
836857,836916
837548,837651
840902,840987
841268,841341
841668,841746
842679,842781
843949,846579
847551,848109
848921,848979
849313,849402
850216,851184
851472,851565
852182,852240
852719,852837
853757,853863
854443,854748
855166,855243
858499,858705
862790,862848
863548,863610
867079,868800
869490,870480
871948,872121
876121,876201
877612,877797
878017,878070
879254,879339
880027,880080
880468,880524
880693,880851
881978,882048
882803,882864
882962,883026
883200,883290
883728,883782
884170,885270
885440,885579
887524,887589
888075,888129
888684,888942
890752,890820
891277,891831
892192,892512
894657,894762
899253,899334
902429,902751
903526,903840
904078,904143
904900,904962
905961,907524
907720,907830
907979,908079
908775,908862
910516,910683
911670,911727
912427,912588
913102,913155
914187,914250
914405,914463
914607,914688
915898,915996
916047,916164
916823,916938
917164,918117
920137,920217
921141,921303
921537,921597
923161,924540
927911,928308
928641,928695
928766,929742
929820,929892
930220,930693
930989,931077
932317,933882
936253,936603
939105,939819
940316,940383
940810,941484
942148,943497
943953,944013
945520,945912
947101,947604
948442,948495
948754,950220
952318,953769
953842,955740
957800,958764
959210,959622
960748,961221
963114,963171
964367,964443
965438,965490
965622,965679
968076,968151
968382,968484
971335,971394
972065,972159
972719,972771
973137,973221
974079,974220
976191,976356
978804,978858
979762,980064
983773,983868
